source_count,noise_level,drift_level,repetition,simple_average_error,simple_average_result,confidence_weighted_error,confidence_weighted_result,uncertainty_weighted_error,uncertainty_weighted_result,trust_only_error,trust_only_result,median_error,median_result,trust_aware_error,trust_aware_result,mean_true_noise,mean_estimated_noise,mean_true_drift,mean_estimated_drift,mean_confidence,mean_trust
7,0.1,0.1,6,0.09467230505285196,1.094672305052852,0.09487627149338329,1.0948762714933833,0.11863841707617429,1.1186384170761743,0.10364936274164371,1.1036493627416437,0.12783012546467298,1.127830125464673,0.12421194646730327,1.1242119464673033,0.17500000000000002,0.17702132362224882,0.05,0.056451692060779414,0.8885924529040575,0.8453093536203566
7,0.1,0.1,7,0.08221730541041605,1.082217305410416,0.0760824450082973,1.0760824450082973,0.07150058937959014,1.0715005893795901,0.07840084741720199,1.078400847417202,0.04618730403801119,1.0461873040380112,0.06907847685895274,1.0690784768589527,0.17500000000000002,0.1795000001545793,0.05,0.06304003761600645,0.888403700915408,0.8680420584654722
7,0.1,0.1,8,0.014080577326650912,0.9859194226733491,0.01671934771227357,0.9832806522877264,0.07432431352760993,0.9256756864723901,0.014319774165082455,0.9856802258349175,0.08869776091485082,0.9113022390851492,0.07524370493642984,0.9247562950635702,0.17500000000000002,0.19072278275419383,0.05,0.059445778866024486,0.8786473383824882,0.8365637305027586
7,0.1,0.1,9,0.09961793807181496,1.099617938071815,0.10247431768975357,1.1024743176897536,0.09015646874694405,1.090156468746944,0.09804625782425824,1.0980462578242582,0.021854971158205228,1.0218549711582052,0.08821128409763856,1.0882112840976386,0.17500000000000002,0.1703735302860763,0.05,0.05507571863751963,0.8898034802626916,0.8411561880454953
7,0.1,0.1,10,0.0542094865279128,1.0542094865279128,0.06433116685844253,1.0643311668584425,0.12594437832287908,1.125944378322879,0.060326906199499986,1.0603269061995,0.02943348863679862,1.0294334886367986,0.1252696283891228,1.1252696283891228,0.17500000000000002,0.1714998222744389,0.05,0.04002316173645436,0.875582952384464,0.8314426538404013
7,0.1,0.1,11,0.14068366858401893,1.140683668584019,0.14147186316952287,1.1414718631695229,0.16975307860448097,1.169753078604481,0.14109512562844295,1.141095125628443,0.07930209246640385,1.0793020924664039,0.1684945835825562,1.1684945835825562,0.17500000000000002,0.15018506510622243,0.05,0.052542222532070866,0.935458030003189,0.8357922745151851
7,0.1,0.1,12,0.06523256761443097,1.065232567614431,0.061386142385979836,1.0613861423859798,0.014002956086837992,1.014002956086838,0.06289246597354126,1.0628924659735413,0.03126632173944199,1.031266321739442,0.009192971865968014,1.009192971865968,0.17500000000000002,0.16187972913312748,0.05,0.05104836587342205,0.9021750480379837,0.7868452952231878
7,0.1,0.1,13,0.06877499048784896,1.068774990487849,0.06839124381668493,1.068391243816685,0.049301808044285744,1.0493018080442857,0.06978071573264932,1.0697807157326493,0.10032846766936054,1.1003284676693605,0.04893385155406427,1.0489338515540643,0.17500000000000002,0.15917977732769967,0.05,0.041260507255039346,0.9027594943167996,0.8410074641805237
7,0.1,0.1,14,0.012835325398760755,1.0128353253987608,0.008045355870413218,1.0080453558704132,0.027762877168808764,1.0277628771688088,0.010430158560596592,1.0104301585605966,0.045030056516604855,1.0450300565166049,0.027815791602364914,1.027815791602365,0.17500000000000002,0.19591726574893434,0.05,0.057930886516286965,0.869102184216412,0.8461812725087448
7,0.1,0.1,15,0.018152757189196622,0.9818472428108034,0.022367377873216077,0.9776326221267839,0.014209851355136083,1.014209851355136,0.017355088999559398,0.9826449110004406,0.037465197857429744,0.9625348021425703,0.01570552333777475,1.0157055233377748,0.17500000000000002,0.15660657988051843,0.05,0.044047803374778684,0.9107911505614784,0.8519066693696306
