seed,source_count,noise_level,drift_level,repetition,simple_average_error,simple_average_result,confidence_weighted_error,confidence_weighted_result,uncertainty_weighted_error,uncertainty_weighted_result,trust_only_error,trust_only_result,median_error,median_result,original_trust_uncertainty_error,original_trust_uncertainty_result,orthogonal_trust_uncertainty_error,orthogonal_trust_uncertainty_result,trust_aware_error,trust_aware_result,compatible,compatibility_issue_count,compatibility_issues,disagreement,disagreement_acceptable,can_fuse,fog_action,operational_fusion_result,operational_fusion_error,mean_true_noise,mean_estimated_noise,mean_true_drift,mean_estimated_drift,mean_signed_drift,mean_confidence,mean_trust,mean_backend_quality,mean_staleness_error,max_staleness_error,sigma_floor
42,2,0.05,0.0,10,0.033400069679549005,0.966599930320451,0.03294401653912149,0.9670559834608785,0.016480793727113308,0.9835192062728867,0.03138889384367183,0.9686111061563282,0.033400069679549005,0.966599930320451,0.015975631291910264,0.9840243687080897,0.01586197653388932,0.9841380234661107,0.01586197653388932,0.9841380234661107,True,0,,0.01984179162770494,True,True,fuse,0.9841380234661107,0.01586197653388932,0.05625,0.035507064482781556,0.0,0.012610926205042745,0.0,0.8024233195882993,0.8570860965348934,0.6511586476814568,0.031628474428510245,0.061499399553328615,0.02
42,2,0.05,0.0,11,0.04705532212698005,1.04705532212698,0.04460363199472828,1.0446036319947283,0.08410614706849917,1.0841061470684992,0.04814344980501262,1.0481434498050126,0.04705532212698005,1.04705532212698,0.08415968839497445,1.0841596883949745,0.08411853622781296,1.084118536227813,0.08411853622781296,1.084118536227813,True,0,,0.03631603097277859,True,True,fuse,1.084118536227813,0.08411853622781296,0.05625,0.09121540421367721,0.0,0.014469642286051368,0.0,0.7616336890747832,0.8888533389418558,0.5674254140771604,0.00536708962123067,0.008858194213322346,0.02
42,2,0.05,0.0,12,0.03035220612612033,1.0303522061261203,0.03049150550589874,1.0304915055058987,0.037031331296893066,1.037031331296893,0.030422309094042532,1.0304223090940425,0.03035220612612033,1.0303522061261203,0.03708432868498246,1.0370843286849825,0.03703618750672133,1.0370361875067213,0.03703618750672133,1.0370361875067213,True,0,,0.013174962724795175,True,True,fuse,1.0370361875067213,0.03703618750672133,0.05625,0.06294201086204476,0.0,0.005851692116482615,0.0,0.6851823989468524,0.8587798622615767,0.5578143035159622,0.008622580275108982,0.012404085309294599,0.02
42,2,0.05,0.0,13,0.08274247579577487,0.9172575242042251,0.08372566375427215,0.9162743362457278,0.06682379573984476,0.9331762042601552,0.08242140765199246,0.9175785923480075,0.08274247579577487,0.9172575242042251,0.06668170653365046,0.9333182934663495,0.06669318727381401,0.933306812726186,0.06669318727381401,0.933306812726186,True,0,,0.02141580206172866,True,True,fuse,0.933306812726186,0.06669318727381401,0.05625,0.039910635538242076,0.0,0.018543329707615755,0.0,0.8938094964946874,0.9337050611102995,0.8317173282549282,0.009745600659884446,0.017724816810852584,0.02
42,2,0.05,0.0,14,0.09305064139969543,1.0930506413996954,0.08456725833850753,1.0845672583385075,0.13150530230688506,1.131505302306885,0.09460724280091126,1.0946072428009113,0.09305064139969543,1.0930506413996954,0.13288242462590794,1.132882424625908,0.1328779609995583,1.1328779609995583,0.1328779609995583,1.1328779609995583,True,0,,0.10544618530651838,True,True,fuse,1.1328779609995583,0.1328779609995583,0.05625,0.07350995202027331,0.0,0.04001018718482297,0.0,0.7430766420001422,0.8822553039968537,0.5528487455622986,0.0034779484501594737,0.006789038990793195,0.02
42,2,0.05,0.0,15,0.0536521175723319,1.053652117572332,0.05352617528162984,1.0535261752816298,0.053527547784956386,1.0535275477849564,0.053749151753146096,1.053749151753146,0.0536521175723319,1.053652117572332,0.05362455389757148,1.0536245538975715,0.05365993331347707,1.053659933313477,0.05365993331347707,1.053659933313477,True,0,,0.0032698872062711898,True,True,fuse,1.053659933313477,0.05365993331347707,0.05625,0.12694917008395662,0.0,0.0,0.0,0.9371846486223112,0.8735016682810897,0.905377411664376,0.028514820591386936,0.05181072473232928,0.02
42,2,0.05,0.0,16,0.007230113042531516,0.9927698869574685,0.005248805342688789,0.9947511946573112,0.010269057544757043,0.989730942455243,0.005933841695368924,0.9940661583046311,0.007230113042531516,0.9927698869574685,0.00900920400139782,0.9909907959986022,0.008514959531519706,0.9914850404684803,0.008514959531519706,0.9914850404684803,True,0,,0.013872398171504652,True,True,fuse,0.9914850404684803,0.008514959531519706,0.05625,0.033135599007648314,0.0,0.0,0.0,0.8750255797653246,0.9015987838645169,0.8139154320923744,0.006558358516431828,0.012579579243626848,0.02
42,2,0.05,0.0,17,0.07574053636474476,1.0757405363647448,0.0766516002048181,1.076651600204818,0.057683881789283076,1.057683881789283,0.07404701817968995,1.07404701817969,0.07574053636474476,1.0757405363647448,0.05678860276351938,1.0567886027635194,0.056672934568431144,1.0566729345684311,0.056672934568431144,1.0566729345684311,True,0,,0.02504760994539917,True,True,fuse,1.0566729345684311,0.056672934568431144,0.05625,0.10136683660627498,0.0,0.061092057197959695,0.0,0.5228992676104133,0.7384363677327226,0.3265730556602171,0.007494952219859241,0.012181372954949254,0.02
42,2,0.05,0.0,18,0.008236842275335499,0.9917631577246645,0.009345170313601825,0.9906548296863982,0.026221299977871926,1.026221299977872,0.007846130272806784,0.9921538697271932,0.008236842275335499,0.9917631577246645,0.02627768609077874,1.0262776860907787,0.026188893086707132,1.0261888930867071,0.026188893086707132,1.0261888930867071,True,0,,0.037281233516625156,True,True,fuse,1.0261888930867071,0.026188893086707132,0.05625,0.050470454721551074,0.0,0.08797310271224817,0.0,0.737988918057411,0.8545690284253984,0.6785820776814888,0.012862788871330078,0.01904824131723848,0.02
42,2,0.05,0.0,19,0.031050757350745695,1.0310507573507457,0.031211972478281558,1.0312119724782816,0.02944523947226818,1.0294452394722682,0.031083733675179248,1.0310837336751792,0.031050757350745695,1.0310507573507457,0.029474812536466333,1.0294748125364663,0.029513410042974142,1.0295134100429741,0.029513410042974142,1.0295134100429741,True,0,,0.004802325290681962,True,True,fuse,1.0295134100429741,0.029513410042974142,0.05625,0.015599276897532165,0.0,0.04356647181042944,0.0,0.6882323030411011,0.7944695476067914,0.48474217342821047,0.03213667738084014,0.040896258842312294,0.02
42,2,0.05,0.0,20,0.07430036701546927,0.9256996329845307,0.056584575081051525,0.9434154249189485,0.006357280391911191,0.9936427196080888,0.06571926953837681,0.9342807304616232,0.07430036701546927,0.9256996329845307,0.003494240527811554,0.9965057594721884,0.003035072757840984,0.996964927242159,0.003035072757840984,0.996964927242159,True,0,,0.08496796343692858,True,True,fuse,0.996964927242159,0.003035072757840984,0.05625,0.09705760403271552,0.0,0.0,0.0,0.7234820367726402,0.8275489068314822,0.6156194755192883,0.010100698991231838,0.016977808632915314,0.02
42,2,0.05,0.0,21,0.03371209716952883,1.0337120971695288,0.008274979237486102,1.008274979237486,0.1092083435307376,1.1092083435307376,0.03138634254376016,1.0313863425437602,0.03371209716952883,1.0337120971695288,0.10799936234140395,1.107999362341404,0.10697857438285996,1.10697857438286,0.10697857438285996,1.10697857438286,True,0,,0.10454894993024583,True,True,fuse,1.10697857438286,0.10697857438285996,0.05625,0.045481075899503995,0.0,0.0,0.0,0.7525029525272725,0.7913418538151258,0.6258976648775649,0.044072629313620715,0.0799009465822399,0.02
