method,tau_s,noise_level,drift_level,delay_s,runs,overall_mae,accepted_mae,bad_output_rate,acceptance_rate,rejection_rate,forwarding_rate,false_acceptance_rate_all_runs,false_rejection_rate_all_runs,conditional_false_acceptance_rate,conditional_false_rejection_rate,bad_rate_among_accepted,mean_full_trust_score,mean_method_score,mean_estimated_noise,mean_estimated_drift,mean_confidence
freshness_only,1.0,0.0,0.0,3.0,30,0.029557842168128793,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.702355239291349,0.049787068367863944,0.024791701160071674,0.011049393373799454,0.7954749833314035
full_trust_score,1.0,0.0,0.0,3.0,30,0.029557842168128793,0.01627021273217355,0.0,0.03333333333333333,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.702355239291349,0.702355239291349,0.024791701160071674,0.011049393373799454,0.7954749833314035
raw_phys_mcp_output,1.0,0.0,0.0,5.0,30,0.04272263098128899,0.04272263098128899,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7002672765342002,,0.00894770435300662,0.01370664600410272,0.8169855094948242
confidence_only,1.0,0.0,0.0,5.0,30,0.04272263098128899,0.04395055040077273,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7002672765342002,0.8169855094948242,0.00894770435300662,0.01370664600410272,0.8169855094948242
freshness_only,1.0,0.0,0.0,5.0,30,0.04272263098128899,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.7002672765342002,0.006737946999085467,0.00894770435300662,0.01370664600410272,0.8169855094948242
full_trust_score,1.0,0.0,0.0,5.0,30,0.04272263098128899,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.7002672765342002,0.7002672765342002,0.00894770435300662,0.01370664600410272,0.8169855094948242
raw_phys_mcp_output,1.0,0.0,0.0,10.0,30,0.11715234558313871,0.11715234558313871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6826427717297446,,0.023965909245871317,0.027150005792988225,0.7816416020280756
confidence_only,1.0,0.0,0.0,10.0,30,0.11715234558313871,0.1255866403782957,0.0,0.6333333333333333,0.0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.6826427717297446,0.7816416020280756,0.023965909245871317,0.027150005792988225,0.7816416020280756
freshness_only,1.0,0.0,0.0,10.0,30,0.11715234558313871,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.6826427717297446,4.5399929762484854e-05,0.023965909245871317,0.027150005792988225,0.7816416020280756
full_trust_score,1.0,0.0,0.0,10.0,30,0.11715234558313871,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6826427717297446,0.6826427717297446,0.023965909245871317,0.027150005792988225,0.7816416020280756
