seed,experiment,method,coverage,forwarding_rate,rejection_rate,false_acceptance_rate,unsafe_acceptance_frequency,accepted_output_contamination_rate,accepted_mae,fusion_mae,fusion_allowed_rate
909,controlled_baseline,full_trust_score,0.15476190476190477,0.7932539682539682,0.05198412698412699,0.0729083025533965,0.04503968253968254,0.29102564102564105,0.2332570518052392,,
909,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7326,0.7326,0.6616373542864036,,
909,random_stress,confidence_only,0.1596,0.7779,0.0625,0.1334971334971335,0.0978,0.6127819548872181,0.47240977163090236,,
909,random_stress,freshness_only,0.0684,0.1957,0.7359,0.06674856674856675,0.0489,0.7149122807017544,0.652626771881181,,
909,random_stress,full_trust_score,0.0209,0.7465,0.2326,0.009418509418509418,0.0069,0.33014354066985646,0.2626505963420802,,
909,fog_fusion,simple_average,,,,,,,,0.13666122628911323,0.8365
909,fog_fusion,confidence_weighted,,,,,,,,0.13611297589885848,0.8365
909,fog_fusion,uncertainty_weighted,,,,,,,,0.12989586761130986,0.8365
909,fog_fusion,trust_only,,,,,,,,0.1332121927505078,0.8365
909,fog_fusion,median,,,,,,,,0.14618093507138996,0.8365
909,fog_fusion,original_trust_uncertainty,,,,,,,,0.13010509820291397,0.8365
909,fog_fusion,orthogonal_trust_uncertainty,,,,,,,,0.12959139951518592,0.8365
1010,controlled_baseline,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.6151785714285715,0.6151785714285715,0.5025084427166778,,
1010,controlled_baseline,confidence_only,0.25744047619047616,0.7188492063492063,0.02371031746031746,0.20932107724560556,0.12876984126984126,0.5001926782273604,0.3772064177606013,,
1010,controlled_baseline,freshness_only,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3330108047089179,0.2048611111111111,0.6145833333333334,0.4939306472237493,,
1010,controlled_baseline,full_trust_score,0.15773809523809523,0.7887896825396825,0.05347222222222222,0.08756652152878568,0.05386904761904762,0.34150943396226413,0.24904146619242606,,
1010,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7332,0.7332,0.6645572844642835,,
1010,random_stress,confidence_only,0.1654,0.7735,0.0611,0.13338788870703763,0.0978,0.5912938331318017,0.4710312813813163,,
1010,random_stress,freshness_only,0.0669,0.1959,0.7372,0.0662847790507365,0.0486,0.726457399103139,0.6294107639242106,,
1010,random_stress,full_trust_score,0.022,0.7453,0.2327,0.008319694489907256,0.0061,0.2772727272727273,0.23427491764583025,,
1010,fog_fusion,simple_average,,,,,,,,0.13552763471934143,0.8415
1010,fog_fusion,confidence_weighted,,,,,,,,0.13495529962863562,0.8415
1010,fog_fusion,uncertainty_weighted,,,,,,,,0.12893370974261073,0.8415
1010,fog_fusion,trust_only,,,,,,,,0.13229994935520145,0.8415
1010,fog_fusion,median,,,,,,,,0.14367640409747334,0.8415
1010,fog_fusion,original_trust_uncertainty,,,,,,,,0.12922316648302104,0.8415
1010,fog_fusion,orthogonal_trust_uncertainty,,,,,,,,0.1289694394522576,0.8415
1111,controlled_baseline,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.6180555555555556,0.6180555555555556,0.5066438135431997,,
1111,controlled_baseline,confidence_only,0.2594246031746032,0.7146825396825397,0.025892857142857145,0.20738362760834672,0.12817460317460316,0.49407265774378584,0.3686488551270839,,
1111,controlled_baseline,freshness_only,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33178170144462277,0.2050595238095238,0.6151785714285715,0.5019841266308417,,
1111,controlled_baseline,full_trust_score,0.15634920634920635,0.7916666666666666,0.05198412698412699,0.08218298555377207,0.050793650793650794,0.3248730964467005,0.24613700395704238,,
1111,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7311,0.7311,0.6636764895464999,,
1111,random_stress,confidence_only,0.1555,0.7861,0.0584,0.12228149363972096,0.0894,0.5749196141479099,0.46234428542755573,,
1111,random_stress,freshness_only,0.0709,0.1898,0.7393,0.06756941594857065,0.0494,0.6967559943582511,0.620854759767758,,
1111,random_stress,full_trust_score,0.0196,0.7529,0.2275,0.008480372042128299,0.0062,0.3163265306122449,0.24176036235242673,,
1111,fog_fusion,simple_average,,,,,,,,0.13804630979758925,0.8395
1111,fog_fusion,confidence_weighted,,,,,,,,0.13691932879702717,0.8395
1111,fog_fusion,uncertainty_weighted,,,,,,,,0.13254539188430578,0.8395
1111,fog_fusion,trust_only,,,,,,,,0.13525100557956876,0.8395
1111,fog_fusion,median,,,,,,,,0.14421488756275,0.8395
1111,fog_fusion,original_trust_uncertainty,,,,,,,,0.13273832477933545,0.8395
1111,fog_fusion,orthogonal_trust_uncertainty,,,,,,,,0.13232508121296988,0.8395
1212,controlled_baseline,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.6134920634920635,0.6134920634920635,0.5038939136932254,,
1212,controlled_baseline,confidence_only,0.2567460317460317,0.7215277777777778,0.021726190476190475,0.1979301423027167,0.12142857142857143,0.47295208655332305,0.364871252400775,,
1212,controlled_baseline,freshness_only,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3326326002587322,0.20406746031746031,0.612202380952381,0.4965215507831036,,
1212,controlled_baseline,full_trust_score,0.1566468253968254,0.7891865079365079,0.05416666666666667,0.0815006468305304,0.05,0.31918936035465484,0.2427657925598274,,
1212,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7226,0.7226,0.6580073326692267,,
1212,random_stress,confidence_only,0.1604,0.7762,0.0634,0.12980902297259894,0.0938,0.5847880299251871,0.46245536664693965,,
1212,random_stress,freshness_only,0.0715,0.1772,0.7513,0.0707168557985054,0.0511,0.7146853146853147,0.6408170036328789,,
1212,random_stress,full_trust_score,0.0223,0.7433,0.2344,0.0077497924162745644,0.0056,0.25112107623318386,0.22340910454152946,,
1212,fog_fusion,simple_average,,,,,,,,0.13745704464267808,0.841
1212,fog_fusion,confidence_weighted,,,,,,,,0.1359846066210796,0.841
1212,fog_fusion,uncertainty_weighted,,,,,,,,0.13025917651972255,0.841
1212,fog_fusion,trust_only,,,,,,,,0.1340321681188661,0.841
1212,fog_fusion,median,,,,,,,,0.14603656625904346,0.841
1212,fog_fusion,original_trust_uncertainty,,,,,,,,0.13038109565588818,0.841
1212,fog_fusion,orthogonal_trust_uncertainty,,,,,,,,0.13011383228771825,0.841
1313,controlled_baseline,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.616765873015873,0.616765873015873,0.501335542725039,,
1313,controlled_baseline,confidence_only,0.26666666666666666,0.7072420634920635,0.026091269841269842,0.21183850731864243,0.1306547619047619,0.48995535714285715,0.3736606427164578,,
1313,controlled_baseline,freshness_only,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33231462119993566,0.20496031746031745,0.6148809523809524,0.4900533207740915,,
1313,controlled_baseline,full_trust_score,0.15763888888888888,0.7876984126984127,0.05466269841269841,0.08396332636319769,0.05178571428571429,0.328508495909377,0.23744603230095404,,
1313,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7338,0.7338,0.6646952891550627,,
1313,random_stress,confidence_only,0.1609,0.7778,0.0613,0.13327882256745707,0.0978,0.6078309509011809,0.47521833961417587,,
1313,random_stress,freshness_only,0.0757,0.1903,0.734,0.07495230307985827,0.055,0.726552179656539,0.6748471231627182,,
1313,random_stress,full_trust_score,0.0219,0.7407,0.2374,0.008449168710820387,0.0062,0.2831050228310502,0.24286758236737202,,
1313,fog_fusion,simple_average,,,,,,,,0.13400075249895074,0.84525
1313,fog_fusion,confidence_weighted,,,,,,,,0.13362791315800515,0.84525
